run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
General-0-20230625-15:29:16-185792,runattr,,,configname,General,,,,,,,,,,,
General-0-20230625-15:29:16-185792,runattr,,,datetime,20230625-15:29:16,,,,,,,,,,,
General-0-20230625-15:29:16-185792,runattr,,,datetimef,20230625-152916,,,,,,,,,,,
General-0-20230625-15:29:16-185792,runattr,,,experiment,General,,,,,,,,,,,
General-0-20230625-15:29:16-185792,runattr,,,inifile,omnetpp.ini,,,,,,,,,,,
General-0-20230625-15:29:16-185792,runattr,,,iterationvars,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,runattr,,,iterationvarsd,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,runattr,,,iterationvarsf,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,runattr,,,measurement,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,runattr,,,network,Network,,,,,,,,,,,
General-0-20230625-15:29:16-185792,runattr,,,processid,185792,,,,,,,,,,,
General-0-20230625-15:29:16-185792,runattr,,,repetition,0,,,,,,,,,,,
General-0-20230625-15:29:16-185792,runattr,,,replication,#0,,,,,,,,,,,
General-0-20230625-15:29:16-185792,runattr,,,resultdir,results,,,,,,,,,,,
General-0-20230625-15:29:16-185792,runattr,,,runnumber,0,,,,,,,,,,,
General-0-20230625-15:29:16-185792,runattr,,,seedset,0,,,,,,,,,,,
General-0-20230625-15:29:16-185792,config,,,network,Network,,,,,,,,,,,
General-0-20230625-15:29:16-185792,config,,,sim-time-limit,2s,,,,,,,,,,,
General-0-20230625-15:29:16-185792,config,,,Network.cmodule[0].isMaster,true,,,,,,,,,,,
General-0-20230625-15:29:16-185792,config,,,Network.cmodule[1].isMaster,false,,,,,,,,,,,
General-0-20230625-15:29:16-185792,config,,,Network.cmodule[2].isMaster,false,,,,,,,,,,,
General-0-20230625-15:29:16-185792,config,,,record-eventlog,true,,,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].app_l.appOut[0].channel,typename,,,"""aufgabe2gruppei.Channel1""",,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].app_l.appOut[0].channel,disabled,,,false,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].app_l.appOut[0].channel,disabled,mutable,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].app_l.appOut[0].channel,delay,,,0s,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].app_l.appOut[0].channel,delay,mutable,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].app_l.appOut[0].channel,delay,unit,s,,,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].tstamp_l.tstampOut[0].channel,typename,,,"""aufgabe2gruppei.Channel1""",,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].tstamp_l.tstampOut[0].channel,disabled,,,false,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].tstamp_l.tstampOut[0].channel,disabled,mutable,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].tstamp_l.tstampOut[0].channel,delay,,,0s,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].tstamp_l.tstampOut[0].channel,delay,mutable,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].tstamp_l.tstampOut[0].channel,delay,unit,s,,,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].app_l.appOut[1].channel,typename,,,"""aufgabe2gruppei.Channel2""",,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].app_l.appOut[1].channel,disabled,,,false,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].app_l.appOut[1].channel,disabled,mutable,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].app_l.appOut[1].channel,delay,,,0s,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].app_l.appOut[1].channel,delay,mutable,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].app_l.appOut[1].channel,delay,unit,s,,,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].tstamp_l.tstampOut[1].channel,typename,,,"""aufgabe2gruppei.Channel2""",,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].tstamp_l.tstampOut[1].channel,disabled,,,false,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].tstamp_l.tstampOut[1].channel,disabled,mutable,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].tstamp_l.tstampOut[1].channel,delay,,,0s,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].tstamp_l.tstampOut[1].channel,delay,mutable,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].tstamp_l.tstampOut[1].channel,delay,unit,s,,,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].tstamp_l.tstampOut[2].channel,typename,,,"""aufgabe2gruppei.Channel1""",,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].tstamp_l.tstampOut[2].channel,disabled,,,false,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].tstamp_l.tstampOut[2].channel,disabled,mutable,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].tstamp_l.tstampOut[2].channel,delay,,,0s,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].tstamp_l.tstampOut[2].channel,delay,mutable,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].tstamp_l.tstampOut[2].channel,delay,unit,s,,,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].in[0].channel,typename,,,"""aufgabe2gruppei.Channel1""",,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].in[0].channel,disabled,,,false,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].in[0].channel,disabled,mutable,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].in[0].channel,delay,,,0s,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].in[0].channel,delay,mutable,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].in[0].channel,delay,unit,s,,,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].tstamp_l.tstampOut[3].channel,typename,,,"""aufgabe2gruppei.Channel2""",,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].tstamp_l.tstampOut[3].channel,disabled,,,false,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].tstamp_l.tstampOut[3].channel,disabled,mutable,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].tstamp_l.tstampOut[3].channel,delay,,,0s,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].tstamp_l.tstampOut[3].channel,delay,mutable,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].tstamp_l.tstampOut[3].channel,delay,unit,s,,,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].in[1].channel,typename,,,"""aufgabe2gruppei.Channel2""",,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].in[1].channel,disabled,,,false,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].in[1].channel,disabled,mutable,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].in[1].channel,delay,,,0s,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].in[1].channel,delay,mutable,,,,,,,,,,,,
General-0-20230625-15:29:16-185792,attr,Network.cmodule[0].in[1].channel,delay,unit,s,,,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].app_l,typename,,,"""aufgabe2gruppei.ApplicationLayer""",,,,,,,,,,
General-0-20230625-15:29:16-185792,param,Network.cmodule[0].app_l,isMaster,,,true,,,,,,,,,,
