run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230625-15:29:16-185792,runattr,,,configname,General,,
General-0-20230625-15:29:16-185792,runattr,,,datetime,20230625-15:29:16,,
General-0-20230625-15:29:16-185792,runattr,,,datetimef,20230625-152916,,
General-0-20230625-15:29:16-185792,runattr,,,experiment,General,,
General-0-20230625-15:29:16-185792,runattr,,,inifile,omnetpp.ini,,
General-0-20230625-15:29:16-185792,runattr,,,iterationvars,,,
General-0-20230625-15:29:16-185792,runattr,,,iterationvarsd,,,
General-0-20230625-15:29:16-185792,runattr,,,iterationvarsf,,,
General-0-20230625-15:29:16-185792,runattr,,,measurement,,,
General-0-20230625-15:29:16-185792,runattr,,,network,Network,,
General-0-20230625-15:29:16-185792,runattr,,,processid,185792,,
General-0-20230625-15:29:16-185792,runattr,,,repetition,0,,
General-0-20230625-15:29:16-185792,runattr,,,replication,#0,,
General-0-20230625-15:29:16-185792,runattr,,,resultdir,results,,
General-0-20230625-15:29:16-185792,runattr,,,runnumber,0,,
General-0-20230625-15:29:16-185792,runattr,,,seedset,0,,
General-0-20230625-15:29:16-185792,config,,,network,Network,,
General-0-20230625-15:29:16-185792,config,,,sim-time-limit,2s,,
General-0-20230625-15:29:16-185792,config,,,Network.cmodule[0].isMaster,true,,
General-0-20230625-15:29:16-185792,config,,,Network.cmodule[1].isMaster,false,,
General-0-20230625-15:29:16-185792,config,,,Network.cmodule[2].isMaster,false,,
General-0-20230625-15:29:16-185792,config,,,record-eventlog,true,,
General-0-20230625-15:29:16-185792,vector,Network.cmodule[0].app_l,,,,"0 0 0.08 0.08 0.16 0.16 0.24 0.24 0.32 0.32 0.4 0.4 0.48 0.48 0.56 0.56 0.64 0.64 0.72 0.72 0.8 0.8 0.88 0.88 0.96 0.96 1.04 1.04 1.12 1.12 1.2 1.2 1.28 1.28 1.36 1.36 1.44 1.44 1.52 1.52 1.6 1.6 1.68 1.68 1.76 1.76 1.84 1.84 1.92 1.92 2 2","2 1 1 1 2 2 2 1 3 1 2 3 2 3 3 1 2 3 2 1 2 2 1 1 1 1 1 3 1 2 1 3 2 1 2 2 3 2 2 3 1 3 2 3 3 2 3 2 3 2 1 1"
General-0-20230625-15:29:16-185792,vector,Network.cmodule[1].app_l,,,,"0 0 0.08 0.08 0.16 0.16 0.24 0.24 0.32 0.32 0.4 0.4 0.48 0.48 0.56 0.56 0.64 0.64 0.72 0.72 0.8 0.8 0.88 0.88 0.96 0.96 1.04 1.04 1.12 1.12 1.2 1.2 1.28 1.28 1.36 1.36 1.44 1.44 1.52 1.52 1.6 1.6 1.68 1.68 1.76 1.76 1.84 1.84 1.92 1.92 2 2","2 1 1 3 2 3 1 3 1 2 3 2 1 1 2 2 3 2 2 3 3 1 2 1 2 2 2 1 2 3 1 3 1 1 3 3 1 1 3 2 1 3 2 2 3 2 3 1 1 3 1 2"
General-0-20230625-15:29:16-185792,vector,Network.cmodule[2].app_l,,,,"0 0 0.08 0.08 0.16 0.16 0.24 0.24 0.32 0.32 0.4 0.4 0.48 0.48 0.56 0.56 0.64 0.64 0.72 0.72 0.8 0.8 0.88 0.88 0.96 0.96 1.04 1.04 1.12 1.12 1.2 1.2 1.28 1.28 1.36 1.36 1.44 1.44 1.52 1.52 1.6 1.6 1.68 1.68 1.76 1.76 1.84 1.84 1.92 1.92 2 2","2 1 2 3 1 1 3 3 2 2 2 1 2 2 1 2 2 1 1 1 1 3 2 1 2 2 3 1 2 3 1 3 2 2 1 1 3 1 3 2 1 1 1 3 3 1 3 2 1 2 3 1"
General-0-20230625-15:29:16-185792,vector,Network.cmodule[1].app_l,,,,"0 0 0.08 0.08 0.16 0.16 0.24 0.24 0.32 0.32 0.4 0.4 0.48 0.48 0.56 0.56 0.64 0.64 0.72 0.72 0.8 0.8 0.88 0.88 0.96 0.96 1.04 1.04 1.12 1.12 1.2 1.2 1.28 1.28 1.36 1.36 1.44 1.44 1.52 1.52 1.6 1.6 1.68 1.68 1.76 1.76 1.84 1.84 1.92 1.92 2 2","0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
General-0-20230625-15:29:16-185792,vector,Network.cmodule[2].app_l,,,,"0 0 0.08 0.08 0.16 0.16 0.24 0.24 0.32 0.32 0.4 0.4 0.48 0.48 0.56 0.56 0.64 0.64 0.72 0.72 0.8 0.8 0.88 0.88 0.96 0.96 1.04 1.04 1.12 1.12 1.2 1.2 1.28 1.28 1.36 1.36 1.44 1.44 1.52 1.52 1.6 1.6 1.68 1.68 1.76 1.76 1.84 1.84 1.92 1.92 2 2","0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
General-0-20230625-15:29:16-185792,vector,Network.cmodule[0].app_l,,,,"0 0 0.08 0.08 0.16 0.16 0.24 0.24 0.32 0.32 0.4 0.4 0.48 0.48 0.56 0.56 0.64 0.64 0.72 0.72 0.8 0.8 0.88 0.88 0.96 0.96 1.04 1.04 1.12 1.12 1.2 1.2 1.28 1.28 1.36 1.36 1.44 1.44 1.52 1.52 1.6 1.6 1.68 1.68 1.76 1.76 1.84 1.84 1.92 1.92 2 2","0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
